window_idx,sample_idx,raw_ir,reconstructed_ir,abs_error
7,33,77875.000000,77841.021381,33.978619
7,34,77874.000000,77842.965882,31.034118
7,35,77874.000000,77845.501556,28.498444
7,36,77873.000000,77842.647937,30.352063
7,37,77877.000000,77842.759634,34.240366
7,38,77875.000000,77844.428639,30.571361
7,39,77875.000000,77846.485778,28.514222
7,40,77874.000000,77847.224958,26.775042
7,41,77872.000000,77845.972334,26.027666
7,42,77873.000000,77855.296572,17.703428
7,43,77873.000000,77854.776207,18.223793
7,44,77870.000000,77851.765231,18.234769
7,45,77873.000000,77853.274468,19.725532
7,46,77875.000000,77854.726158,20.273842
7,47,77874.000000,77851.697145,22.302855
7,48,77871.000000,77847.440393,23.559607
7,49,77873.000000,77850.827390,22.172610
7,50,77871.000000,77853.365690,17.634310
7,51,77871.000000,77849.330265,21.669735
7,52,77873.000000,77855.872127,17.127873
7,53,77873.000000,77856.282607,16.717393
7,54,77875.000000,77853.409313,21.590687
7,55,77875.000000,77852.697150,22.302850
7,56,77866.000000,77851.733254,14.266746
7,57,77865.000000,77847.575598,17.424402
7,58,77866.000000,77843.510200,22.489800
7,59,77861.000000,77842.534770,18.465230
7,60,77862.000000,77845.103969,16.896031
7,61,77860.000000,77841.523203,18.476797
7,62,77860.000000,77840.564773,19.435227
7,63,77860.000000,77845.829423,14.170577
8,0,77838.000000,77845.829423,7.829423
8,1,77835.000000,77841.637915,6.637915
8,2,77833.000000,77843.995438,10.995438
8,3,77830.000000,77838.246390,8.246390
8,4,77834.000000,77851.873916,17.873916
8,5,77834.000000,77847.830569,13.830569
8,6,77839.000000,77851.007922,12.007922
8,7,77841.000000,77849.992950,8.992950
8,8,77843.000000,77864.161725,21.161725
8,9,77843.000000,77863.793027,20.793027
8,10,77843.000000,77866.462820,23.462820
8,11,77842.000000,77865.429234,23.429234
8,12,77842.000000,77869.166265,27.166265
8,13,77841.000000,77868.137962,27.137962
8,14,77843.000000,77862.355995,19.355995
8,15,77844.000000,77863.114453,19.114453
8,16,77844.000000,77854.501645,10.501645
8,17,77845.000000,77860.047707,15.047707
8,18,77846.000000,77860.695932,14.695932
8,19,77847.000000,77859.857273,12.857273
8,20,77847.000000,77855.257984,8.257984
8,21,77847.000000,77857.856245,10.856245
8,22,77845.000000,77865.683136,20.683136
8,23,77845.000000,77863.199030,18.199030
8,24,77843.000000,77853.908458,10.908458
8,25,77840.000000,77849.838483,9.838483
8,26,77845.000000,77849.384082,4.384082
8,27,77836.000000,77845.759824,9.759824
8,28,77831.000000,77838.743178,7.743178
8,29,77823.000000,77831.082754,8.082754
8,30,77814.000000,77831.298625,17.298625
8,31,77810.000000,77830.114765,20.114765
8,32,77810.000000,77829.087211,19.087211
8,33,77810.000000,77828.887389,18.887389
8,34,77810.000000,77826.717805,16.717805
8,35,77811.000000,77828.510698,17.510698
8,36,77810.000000,77835.517171,25.517171
8,37,77810.000000,77832.998470,22.998470
8,38,77809.000000,77832.392054,23.392054
8,39,77811.000000,77830.188203,19.188203
8,40,77815.000000,77847.413906,32.413906
8,41,77813.000000,77844.847301,31.847301
8,42,77814.000000,77840.302871,26.302871
8,43,77812.000000,77840.564129,28.564129
8,44,77812.000000,77847.335123,35.335123
8,45,77813.000000,77843.060646,30.060646
8,46,77807.000000,77836.837474,29.837474
8,47,77805.000000,77832.822867,27.822867
8,48,77802.000000,77825.984826,23.984826
8,49,77796.000000,77821.381584,25.381584
8,50,77793.000000,77821.083961,28.083961
8,51,77795.000000,77824.272807,29.272807
8,52,77796.000000,77815.006846,19.006846
8,53,77798.000000,77822.921947,24.921947
8,54,77800.000000,77830.576819,30.576819
8,55,77795.000000,77830.691868,35.691868
8,56,77798.000000,77826.072259,28.072259
8,57,77798.000000,77824.229165,26.229165
8,58,77794.000000,77826.971420,32.971420
8,59,77783.000000,77814.875941,31.875941
8,60,77772.000000,77802.829398,30.829398
8,61,77762.000000,77793.743254,31.743254
8,62,77753.000000,77788.431581,35.431581
8,63,77746.000000,77786.162587,40.162587
9,0,77761.000000,77786.162587,25.162587
9,1,77758.000000,77781.022236,23.022236
9,2,77756.000000,77772.434811,16.434811
9,3,77756.000000,77766.695710,10.695710
9,4,77753.000000,77764.968433,11.968433
9,5,77756.000000,77767.588432,11.588432
9,6,77757.000000,77768.764115,11.764115
9,7,77762.000000,77783.591647,21.591647
9,8,77767.000000,77779.407409,12.407409
9,9,77769.000000,77779.476264,10.476264
9,10,77775.000000,77775.657915,0.657915
9,11,77775.000000,77766.325001,8.674999
9,12,77776.000000,77768.061960,7.938040
9,13,77777.000000,77771.262120,5.737880
9,14,77780.000000,77778.972817,1.027183
9,15,77788.000000,77792.437708,4.437708
9,16,77791.000000,77797.466664,6.466664
9,17,77792.000000,77805.952941,13.952941
9,18,77790.000000,77802.212659,12.212659
9,19,77787.000000,77798.411657,11.411657
9,20,77788.000000,77795.152396,7.152396
9,21,77788.000000,77787.105393,0.894607
9,22,77790.000000,77797.657933,7.657933
9,23,77796.000000,77801.263610,5.263610
9,24,77795.000000,77808.919565,13.919565
9,25,77793.000000,77814.980269,21.980269
9,26,77784.000000,77805.904370,21.904370
9,27,77783.000000,77808.813419,25.813419
9,28,77781.000000,77800.693459,19.693459
9,29,77783.000000,77796.560086,13.560086
9,30,77783.000000,77798.801849,15.801849
9,31,77784.000000,77800.445191,16.445191
9,32,77787.000000,77820.193472,33.193472
9,33,77790.000000,77823.052969,33.052969
9,34,77792.000000,77834.249858,42.249858
9,35,77797.000000,77833.771729,36.771729
9,36,77798.000000,77829.717223,31.717223
9,37,77798.000000,77831.946506,33.946506
