window_idx,measurement_idx,measurement_value
15,21,1.701000
15,22,-0.155000
15,23,-0.022000
15,24,0.066000
15,25,-0.729000
15,26,0.155000
15,27,-0.022000
15,28,-0.641000
15,29,1.127000
15,30,-0.464000
15,31,0.862000
16,0,0.000000
16,1,-0.508000
16,2,-0.729000
16,3,-0.199000
16,4,1.171000
16,5,0.155000
16,6,-0.552000
16,7,-0.420000
16,8,3.204000
16,9,0.022000
16,10,3.027000
16,11,0.110000
16,12,0.110000
16,13,0.906000
16,14,-1.127000
16,15,-0.376000
16,16,0.022000
16,17,-0.818000
16,18,0.464000
16,19,-0.199000
16,20,0.685000
16,21,2.497000
16,22,-0.110000
16,23,0.862000
16,24,-0.508000
16,25,-1.922000
16,26,0.199000
16,27,-0.331000
16,28,0.994000
16,29,2.188000
16,30,0.552000
16,31,0.066000
17,0,-0.000000
17,1,-0.331000
17,2,-0.155000
17,3,-0.287000
17,4,-1.260000
17,5,0.508000
17,6,-1.171000
17,7,-0.464000
17,8,8.021000
17,9,0.243000
17,10,2.276000
17,11,-0.022000
17,12,-0.950000
17,13,0.287000
17,14,-0.243000
17,15,0.199000
17,16,-0.420000
17,17,1.525000
17,18,0.552000
17,19,0.199000
17,20,0.773000
17,21,0.155000
17,22,-0.641000
17,23,0.155000
17,24,0.066000
17,25,-0.906000
17,26,-0.376000
17,27,0.022000
17,28,0.199000
17,29,-0.331000
17,30,0.022000
17,31,0.022000
18,0,-0.000000
18,1,-0.265000
18,2,-0.486000
18,3,-0.221000
18,4,-1.812000
18,5,0.751000
18,6,-1.061000
18,7,0.530000
18,8,2.519000
18,9,0.177000
18,10,2.873000
18,11,0.265000
18,12,-0.398000
18,13,0.442000
18,14,-0.486000
18,15,0.133000
18,16,0.530000
18,17,-2.652000
18,18,-0.088000
18,19,-0.663000
18,20,0.442000
18,21,1.016000
18,22,0.575000
18,23,-0.044000
18,24,-0.884000
18,25,-0.928000
18,26,-0.177000
18,27,-0.972000
18,28,0.663000
18,29,2.475000
18,30,0.884000
18,31,-0.133000
19,0,0.000000
19,1,0.110000
19,2,0.243000
19,3,0.287000
19,4,-0.066000
19,5,0.110000
19,6,-1.083000
19,7,-0.287000
19,8,-1.790000
19,9,0.199000
19,10,2.099000
19,11,-0.155000
19,12,-0.420000
19,13,0.508000
19,14,-1.215000
19,15,0.287000
19,16,-0.199000
19,17,-0.464000
19,18,-0.110000
19,19,0.110000
19,20,0.287000
19,21,1.392000
19,22,-0.552000
19,23,-0.155000
19,24,-0.022000
19,25,1.083000
19,26,-0.110000
19,27,-0.243000
19,28,0.508000
19,29,0.994000
19,30,-0.243000
19,31,0.243000
20,0,-0.000000
20,1,0.751000
20,2,0.000000
20,3,0.133000
20,4,0.663000
20,5,-0.221000
20,6,1.591000
20,7,-0.265000
20,8,-14.010000
20,9,-0.088000
20,10,1.989000
20,11,-0.177000
20,12,1.061000
20,13,-0.486000
20,14,-0.088000
20,15,0.530000
20,16,0.265000
20,17,-1.326000
20,18,-0.088000
20,19,-0.221000
20,20,0.133000
20,21,-0.354000
20,22,-0.000000
20,23,-0.088000
20,24,0.133000
20,25,0.530000
20,26,0.575000
20,27,0.265000
20,28,0.044000
20,29,-0.000000
20,30,0.177000
20,31,0.398000
21,0,0.000000
21,1,0.552000
21,2,0.066000
21,3,-0.155000
21,4,-0.287000
21,5,0.066000
21,6,0.022000
21,7,0.110000
21,8,-10.805000
21,9,0.199000
21,10,0.199000
21,11,-0.199000
21,12,0.729000
21,13,0.110000
21,14,-0.110000
21,15,-0.376000
21,16,0.376000
21,17,-1.348000
21,18,0.420000
21,19,0.376000
21,20,-0.287000
21,21,-0.376000
21,22,-0.110000
21,23,0.243000
21,24,-0.155000
21,25,-0.155000
21,26,-0.376000
21,27,0.066000
21,28,0.641000
21,29,0.110000
21,30,0.022000
21,31,-0.199000
22,0,0.000000
22,1,0.575000
22,2,0.928000
22,3,-0.354000
22,4,1.149000
22,5,-0.575000
22,6,0.530000
22,7,-0.221000
22,8,-10.032000
22,9,0.088000
22,10,-1.061000
22,11,-0.221000
22,12,0.707000
22,13,-0.177000
22,14,0.133000
22,15,-0.177000
22,16,0.575000
22,17,-0.044000
22,18,0.177000
22,19,0.088000
22,20,-0.928000
22,21,-0.530000
22,22,0.575000
22,23,0.530000
22,24,-0.265000
22,25,-1.326000
22,26,-0.398000
22,27,-0.398000
22,28,1.149000
22,29,0.221000
22,30,0.177000
22,31,-0.088000
23,0,0.000000
23,1,-0.508000
23,2,0.066000
23,3,0.155000
23,4,-1.304000
23,5,-0.155000
23,6,0.420000
23,7,0.066000
23,8,-5.812000
23,9,-0.199000
23,10,0.066000
