node,scenario,cycle,repeat,idx,name,self,neighbor,expect,t,source
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1274,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1284,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1295,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1305,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1305,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1315,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1326,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1336,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1346,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1357,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1367,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1377,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1388,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1388,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1398,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1409,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1419,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1429,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1440,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1450,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1460,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1471,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1471,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1481,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1491,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1502,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1512,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1522,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1533,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1543,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1553,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1554,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1564,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1574,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1585,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1595,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1605,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1616,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1626,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1636,gateway
