window_idx,axis,measurement_idx,measurement_value
4,ax,29,0.068000
4,ax,30,-0.001000
4,ax,31,0.011000
4,ay,0,-0.000000
4,ay,1,-0.008000
4,ay,2,0.012000
4,ay,3,0.000000
4,ay,4,-0.005000
4,ay,5,-0.021000
4,ay,6,0.021000
4,ay,7,0.008000
4,ay,8,-0.259000
4,ay,9,-0.009000
4,ay,10,0.175000
4,ay,11,-0.021000
4,ay,12,0.042000
4,ay,13,0.011000
4,ay,14,-0.008000
4,ay,15,-0.016000
4,ay,16,0.024000
4,ay,17,-0.188000
4,ay,18,0.011000
4,ay,19,-0.014000
4,ay,20,0.008000
4,ay,21,-0.026000
4,ay,22,-0.006000
4,ay,23,0.019000
4,ay,24,0.026000
4,ay,25,-0.042000
4,ay,26,0.013000
4,ay,27,0.031000
4,ay,28,-0.039000
4,ay,29,-0.106000
4,ay,30,0.013000
4,ay,31,0.004000
4,az,0,-0.000000
4,az,1,-0.001000
4,az,2,-0.028000
4,az,3,0.014000
4,az,4,-0.019000
4,az,5,0.011000
4,az,6,-0.011000
4,az,7,-0.017000
4,az,8,0.135000
4,az,9,0.021000
4,az,10,-0.001000
4,az,11,0.016000
4,az,12,-0.012000
4,az,13,-0.008000
4,az,14,0.010000
4,az,15,0.002000
4,az,16,0.026000
4,az,17,-0.064000
4,az,18,0.005000
4,az,19,-0.013000
4,az,20,0.025000
4,az,21,-0.019000
4,az,22,-0.002000
4,az,23,0.017000
4,az,24,-0.008000
4,az,25,0.017000
4,az,26,0.034000
4,az,27,-0.010000
4,az,28,-0.011000
4,az,29,0.010000
4,az,30,0.021000
4,az,31,-0.034000
4,gx,0,-0.000000
4,gx,1,0.320000
4,gx,2,-0.074000
4,gx,3,-0.177000
4,gx,4,0.379000
4,gx,5,-0.151000
4,gx,6,0.419000
4,gx,7,-0.118000
4,gx,8,-1.453000
4,gx,9,0.140000
4,gx,10,0.636000
4,gx,11,0.146000
4,gx,12,-0.595000
4,gx,13,-0.281000
4,gx,14,0.608000
4,gx,15,0.313000
4,gx,16,0.205000
4,gx,17,-0.940000
4,gx,18,-0.657000
4,gx,19,0.004000
4,gx,20,0.194000
4,gx,21,0.099000
4,gx,22,-0.009000
4,gx,23,-0.352000
4,gx,24,0.031000
4,gx,25,0.757000
4,gx,26,-0.282000
4,gx,27,0.112000
4,gx,28,-0.238000
4,gx,29,-0.540000
4,gx,30,-0.045000
4,gx,31,-0.071000
4,gy,0,0.000000
4,gy,1,0.014000
4,gy,2,-0.055000
4,gy,3,0.006000
4,gy,4,0.086000
4,gy,5,0.124000
4,gy,6,-0.219000
4,gy,7,0.011000
4,gy,8,-3.244000
4,gy,9,0.127000
4,gy,10,-1.561000
4,gy,11,-0.013000
4,gy,12,0.654000
4,gy,13,0.092000
4,gy,14,-0.207000
4,gy,15,-0.149000
4,gy,16,-0.338000
4,gy,17,1.251000
4,gy,18,0.134000
